,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
9040,2022-01-09,1,MLB7583355890,0,,1,2022-01-09,0,,1,2022-01-13,2022-01-09,0,,4,
7533,2022-01-05,1,MLB7583982840,0,,0,,1,2022-01-05,1,2022-01-12,2022-01-05,,0,7,
1364,2022-01-20,3,MLB7584310040,0,,1,2022-02-09,1,2022-02-03,1,2022-01-22,2022-01-20,20,14,2,
4987,2022-01-30,4,MLB7589628960,0,,0,,1,2022-01-30,1,2022-01-31,2022-01-30,,0,1,
11145,2022-01-24,4,MLB7590041900,0,,1,2022-01-26,1,2022-01-24,1,2022-01-26,2022-01-24,2,0,2,
2209,2022-01-20,3,MLB7593873020,0,,1,2022-01-21,1,2022-01-20,1,2022-01-21,2022-01-20,1,0,1,
21,2022-01-02,1,MLB7594363930,0,,0,,0,,1,2022-01-05,2022-01-02,,,3,
9870,2022-01-09,1,MLB759679770,0,,0,,0,,0,,2022-01-09,,,,
6412,2022-01-07,1,MLB7597833670,0,,1,2022-01-07,0,,1,2022-01-09,2022-01-07,0,,2,
6415,2022-01-16,2,MLB7600832500,0,,0,,0,,1,2022-01-17,2022-01-16,,,1,
2800,2022-01-05,1,MLB7601139730,0,,1,2022-01-27,1,2022-01-27,1,2022-01-27,2022-01-05,22,22,22,
6295,2022-01-09,1,MLB7601248140,0,,0,,0,,1,2022-01-10,2022-01-09,,,1,
11392,2022-01-03,1,MLB7603441240,0,,0,,0,,1,2022-01-04,2022-01-03,,,1,
2030,2022-01-19,3,MLB7607880910,0,,1,2022-01-19,1,2022-01-19,1,2022-01-21,2022-01-19,0,0,2,
2907,2022-01-24,4,MLB7608286360,1,2022-01-27,1,2022-01-26,1,2022-01-25,1,2022-01-25,2022-01-24,2,1,1,3
5213,2022-01-18,3,MLB7611964600,0,,0,,0,,1,2022-01-21,2022-01-18,,,3,
2141,2022-01-04,1,MLB7612649430,0,,0,,0,,0,,2022-01-04,,,,
3119,2022-01-10,2,MLB7613066030,0,,1,2022-01-10,1,2022-01-11,1,2022-01-11,2022-01-10,0,1,1,
7277,2022-01-04,1,MLB7613732510,0,,0,,0,,1,2022-01-20,2022-01-04,,,16,
8641,2022-01-24,4,MLB7614766380,0,,0,,0,,1,2022-01-25,2022-01-24,,,1,
4702,2022-01-11,2,MLB7614949460,1,2022-01-24,1,2022-01-11,1,2022-01-31,1,2022-01-12,2022-01-11,0,20,1,13
1271,2022-01-24,4,MLB7616885720,1,2022-02-05,1,2022-01-24,0,,1,2022-01-25,2022-01-24,0,,1,12
2494,2022-01-03,1,MLB7618225010,0,,0,,0,,1,2022-01-11,2022-01-03,,,8,
850,2022-01-30,4,MLB7619386890,0,,0,,0,,1,2022-01-31,2022-01-30,,,1,
1688,2022-01-07,1,MLB7622291910,0,,1,2022-02-03,1,2022-01-07,1,2022-02-03,2022-01-07,27,0,27,
5193,2022-01-06,1,MLB7622496880,0,,1,2022-01-06,1,2022-01-06,0,,2022-01-06,0,0,,
11020,2022-01-28,4,MLB7624135420,1,2022-02-18,1,2022-01-28,1,2022-01-28,1,2022-01-29,2022-01-28,0,0,1,21
626,2022-01-18,3,MLB76250040,0,,0,,0,,0,,2022-01-18,,,,
2535,2022-01-04,1,MLB7626144170,0,,0,,0,,0,,2022-01-04,,,,
9094,2022-01-25,4,MLB7627426720,0,,0,,0,,1,2022-01-27,2022-01-25,,,2,
982,2022-01-30,4,MLB7627733710,0,,1,2022-02-02,1,2022-01-30,1,2022-01-31,2022-01-30,3,0,1,
1324,2022-01-18,3,MLB7629784330,0,,0,,1,2022-01-18,0,,2022-01-18,,0,,
5390,2022-01-20,3,MLB7631682220,0,,1,2022-02-08,1,2022-01-20,1,2022-02-08,2022-01-20,19,0,19,
4869,2022-01-30,4,MLB7634774800,0,,0,,0,,0,,2022-01-30,,,,
5287,2022-01-03,1,MLB763492640,0,,1,2022-01-03,0,,0,,2022-01-03,0,,,
1967,2022-01-23,3,MLB7636683530,0,,1,2022-02-13,0,,1,2022-01-28,2022-01-23,21,,5,
5176,2022-01-22,3,MLB7639043880,0,,0,,1,2022-01-22,1,2022-01-26,2022-01-22,,0,4,
3061,2022-01-04,1,MLB7639120740,0,,1,2022-01-04,1,2022-01-04,1,2022-01-06,2022-01-04,0,0,2,
1647,2022-01-26,4,MLB7640533250,0,,0,,1,2022-01-26,1,2022-02-02,2022-01-26,,0,7,
8674,2022-01-08,1,MLB7640816110,0,,0,,0,,1,2022-01-23,2022-01-08,,,15,
